,Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
58,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Europe_Eastern,Primary Energy|Gas,EJ/yr,3.904782,3.061991,2.048319,2.054969,1.968812,1.95888499999999,1.88929,1.814456,1.651991,1.41058099999999,1.194013,0.9620839,0.645336199999999,0.6375705,0.6284022,0.6036956,0.6015046,0.645740499999999,0.7026173,0.6702174
59,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Europe_Eastern,Primary Energy|Oil,EJ/yr,0.9923677,0.9382264,0.7764095,0.7290501,0.7231671,0.7082623,0.6945576,0.6522602,0.6109293,0.565164999999999,0.5318363,0.494065799999999,0.4418854,0.429905099999999,0.428539699999999,0.440783,0.4351778,0.4267244,0.4321307,0.402701599999999
60,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Europe_Non_EU,Primary Energy|Coal,EJ/yr,1.590903,1.99774,2.079663,2.089897,1.72777,1.203185,0.7271954,0.5039732,0.4176103,0.3983094,0.490894499999999,0.5069582,0.4113603,0.4214233,0.4206837,0.414917699999999,0.4119193,0.4041696,0.3902912,0.335985799999999
61,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Europe_Non_EU,Primary Energy|Gas,EJ/yr,1.18163,1.558104,1.872213,2.16968,2.34556199999999,2.564861,2.62383,2.57884,2.436249,2.064754,1.644098,1.333335,1.06962999999999,1.081616,1.109103,1.141416,1.168652,1.190936,1.193889,1.10499
62,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|Europe_Non_EU,Primary Energy|Oil,EJ/yr,1.86388,1.922455,2.293082,2.364383,2.395332,2.364456,2.344154,2.231392,2.111177,1.98547599999999,1.833464,1.638702,1.419306,1.388929,1.367811,1.383681,1.36545,1.343611,1.358,1.305038
63,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|European Free Trade Association,Primary Energy|Coal,EJ/yr,0.04289392,0.04018682,0.0412779999999999,0.04453823,0.04317011,0.04017219,0.03385209,0.02726747,0.02383887,0.02188584,0.0218984,0.02173411,0.02166014,0.02299495,0.02342193,0.02318832,0.02318892,0.02320581,0.02289294,0.02116364
64,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|European Free Trade Association,Primary Energy|Gas,EJ/yr,0.3038758,0.380407999999999,0.3871461,0.4366427,0.412024,0.3799908,0.3191857,0.257321199999999,0.2296078,0.213835799999999,0.1861435,0.1536676,0.1198936,0.124068299999999,0.133342299999999,0.1562564,0.2057632,0.2770157,0.3510974,0.3848236
65,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|European Free Trade Association,Primary Energy|Oil,EJ/yr,1.002837,0.9692145,0.8725554,0.8416613,0.7946603,0.728806499999999,0.6861436,0.6301666,0.5725044,0.5355579,0.4888396,0.447999,0.405371999999999,0.4070866,0.4038267,0.406825,0.3929679,0.380861,0.380961999999999,0.360615099999999
66,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|India,Primary Energy|Coal,EJ/yr,7.637142,11.53768,15.4141799999999,18.05491,18.03091,15.38824,12.03506,9.572935,8.131919,7.889827,8.924332,8.55899,5.866954,5.425082,5.11004499999999,4.772981,4.33312699999999,4.29777399999999,4.34809199999999,3.885621
67,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|India,Primary Energy|Gas,EJ/yr,1.330705,2.276421,1.88802599999999,2.553457,3.408786,4.23334199999999,5.174133,6.106222,6.641133,6.37575899999999,5.933689,5.452516,4.692418,4.919558,5.080138,5.111626,5.189065,5.5898,5.995753,5.926176
68,GCAM5.3_NGFS,Below 2Â°C,GCAM5.3_NGFS|India,Primary Energy|Oil,EJ/yr,5.278903,6.750727,8.45622,9.034329,10.59153,11.69371,12.73958,13.26445,13.17295,13.8287299999999,12.85301,11.7545399999999,10.12235,9.815228,9.782771,10.08292,10.05839,10.0216,10.03353,9.65013999999999
